id,seed,target,model,rmse,r2,custom_str
1,b'\xb3=\x00\x00',Total Score,WeightedEnsemble_L2,0.10951330376922883,0.6791716939541081,
2,b'\xb3=\x00\x00',Total Score,LinearModel,0.11104727472807376,0.6701209569291838,
3,b'\xb3=\x00\x00',Total Score,CatBoost,0.11237587619221438,0.6621802015840241,
4,b'\xb3=\x00\x00',Total Score,LightGBM,0.11262439156758036,0.6606843957776998,
5,b'\xb3=\x00\x00',Fluency,WeightedEnsemble_L2,0.10297231280039724,0.7647833747170074,
6,b'\xb3=\x00\x00',Fluency,CatBoost,0.10367589717699074,0.7615580390807444,
7,b'\xb3=\x00\x00',Fluency,LinearModel,0.10381713103603689,0.7609079551739197,
8,b'\xb3=\x00\x00',Fluency,LightGBM,0.10395867381915243,0.7602555614352864,
9,b'\xb3=\x00\x00',Originality,LinearModel,0.183621363415668,0.3606094674387702,
10,b'\xb3=\x00\x00',Originality,WeightedEnsemble_L2,0.1844729515992074,0.35466506063508374,
11,b'\xb3=\x00\x00',Originality,CatBoost,0.18764233989087672,0.3322998623896334,
12,b'\xb3=\x00\x00',Originality,LightGBM,0.18902930730193573,0.3223927070204883,
13,b'\xb3=\x00\x00',Flexibility,CatBoost,0.12922755652539364,0.5879945962797208,
14,b'\xb3=\x00\x00',Flexibility,LinearModel,0.1300338334609011,0.5828373873206725,
15,b'\xb3=\x00\x00',Flexibility,WeightedEnsemble_L2,0.1300338334609011,0.5828373873206725,
16,b'\xb3=\x00\x00',Flexibility,LightGBM,0.13483502800908378,0.5514631732198993,
17,b'\\\x03\x00\x00',Total Score,LinearModel,0.09859329389298906,0.7694452389555668,
18,b'\\\x03\x00\x00',Total Score,WeightedEnsemble_L2,0.10120943268349385,0.7570475272403923,
19,b'\\\x03\x00\x00',Total Score,CatBoost,0.10475667360756606,0.739718835035045,
20,b'\\\x03\x00\x00',Total Score,LightGBM,0.10574274810121041,0.7347957200992952,
21,b'\\\x03\x00\x00',Fluency,LinearModel,0.08772488856640605,0.842829045145553,
22,b'\\\x03\x00\x00',Fluency,WeightedEnsemble_L2,0.0927968360265583,0.8241295078198113,
23,b'\\\x03\x00\x00',Fluency,LightGBM,0.09413315536878061,0.8190277964849216,
24,b'\\\x03\x00\x00',Fluency,CatBoost,0.09609158491509914,0.8114192518341979,
25,b'\\\x03\x00\x00',Originality,LinearModel,0.16933068503812074,0.4404622831222986,
26,b'\\\x03\x00\x00',Originality,WeightedEnsemble_L2,0.16996089759301325,0.4362895734161817,
27,b'\\\x03\x00\x00',Originality,CatBoost,0.17338985152745018,0.413314458847866,
28,b'\\\x03\x00\x00',Originality,LightGBM,0.1797998376583984,0.3691347202267854,
29,b'\\\x03\x00\x00',Flexibility,LinearModel,0.11432235282510447,0.7316499728104513,
30,b'\\\x03\x00\x00',Flexibility,WeightedEnsemble_L2,0.11657289732841968,0.7209805250831487,
31,b'\\\x03\x00\x00',Flexibility,CatBoost,0.1188721785503069,0.709865228883366,
32,b'\\\x03\x00\x00',Flexibility,LightGBM,0.12132530004179042,0.6977668595791969,
33,"b'\x14,\x01\x00'",Total Score,WeightedEnsemble_L2,0.10758872379670857,0.7172652026702802,
34,"b'\x14,\x01\x00'",Total Score,LinearModel,0.1076092456027322,0.7171573329636849,
35,"b'\x14,\x01\x00'",Total Score,CatBoost,0.10988416566257936,0.7050720173852517,
36,"b'\x14,\x01\x00'",Total Score,LightGBM,0.11069341261725334,0.7007120003288635,
37,"b'\x14,\x01\x00'",Fluency,WeightedEnsemble_L2,0.09349482957363424,0.8041094413150194,
38,"b'\x14,\x01\x00'",Fluency,CatBoost,0.09360012378989283,0.803667967544507,
39,"b'\x14,\x01\x00'",Fluency,LinearModel,0.09730030048991228,0.7878384501672286,
40,"b'\x14,\x01\x00'",Fluency,LightGBM,0.09909236138697289,0.779951368525205,
41,"b'\x14,\x01\x00'",Originality,WeightedEnsemble_L2,0.17676502678810352,0.42062321267297853,
42,"b'\x14,\x01\x00'",Originality,LinearModel,0.17794179413177008,0.41288343381366277,
43,"b'\x14,\x01\x00'",Originality,CatBoost,0.17808942147306955,0.4119088408311624,
44,"b'\x14,\x01\x00'",Originality,LightGBM,0.18022471960188333,0.39772183092020685,
45,"b'\x14,\x01\x00'",Flexibility,LinearModel,0.12602755112146952,0.678499941361427,
46,"b'\x14,\x01\x00'",Flexibility,WeightedEnsemble_L2,0.12603740933889046,0.6784496421782575,
47,"b'\x14,\x01\x00'",Flexibility,CatBoost,0.12927902164380692,0.6616967459366293,
48,"b'\x14,\x01\x00'",Flexibility,LightGBM,0.13006054926528982,0.6575941080960064,
49,b'f\xd6\x00\x00',Total Score,WeightedEnsemble_L2,0.10397456677296038,0.7023827666481794,
50,b'f\xd6\x00\x00',Total Score,LinearModel,0.1053837603104241,0.6942607342338651,
51,b'f\xd6\x00\x00',Total Score,CatBoost,0.10573916355640904,0.6921950657757951,
52,b'f\xd6\x00\x00',Total Score,LightGBM,0.1101179332733379,0.6661741681642186,
53,b'f\xd6\x00\x00',Fluency,CatBoost,0.09898744878099662,0.7792488426827501,
54,b'f\xd6\x00\x00',Fluency,WeightedEnsemble_L2,0.1009477894679552,0.7704187832860572,
